model,rmse,r2,mae
XGBoost_Inn2,40.1944,0.5897,31.0067
LightGBM_Inn2,40.7948,0.5773,31.5752
CatBoost_Inn2,39.9225,0.5952,30.7306
DLS_Inn2,75.7355,-0.4568,52.9254
