model,rmse,r2,mae
XGBoost_V3,44.0871,0.6092,32.8496
LightGBM_V3,43.9523,0.6116,32.6815
CatBoost_V3,43.7757,0.6147,32.3877
DLS,65.0262,0.1499,44.8086
