match_id,date,team1,team2,winner,first_innings_total,dls_target,dls_overs,inn2_score_at_end,inn2_overs_bowled,inn2_wickets_at_end,current_score,ml_predicted_score,ml_target,dls_win_prediction,ml_win_prediction,actual_team2_won,target_diff
257770,2006-12-10,Pakistan,West Indies,Pakistan,207.0,191.0,35,192,34,3,192,222.5,223,1,0,0.0,32.0
258475,2007-09-02,England,India,India,324.0,281.0,39,242,39,8,242,257.0,258,0,0,1.0,-23.0
259391,2006-12-01,Canada,Netherlands,Netherlands,223.0,205.0,42,205,42,9,205,217.1,218,1,0,1.0,13.0
275789,2007-08-16,Scotland,India,India,203.0,209.0,46,212,40,3,212,203.8,213,1,0,1.0,4.0
291367,2008-02-22,Australia,Sri Lanka,Australia,184.0,102.0,29,77,30,4,77,124.8,125,0,0,0.0,23.0
293071,2007-06-23,Ireland,India,India,193.0,171.0,39,171,35,1,171,213.9,214,1,0,1.0,43.0
296917,2008-08-31,England,South Africa,England,183.0,137.0,20,137,18,3,137,205.9,206,1,0,0.0,69.0
298809,2008-02-03,South Africa,West Indies,South Africa,295.0,211.0,31,211,29,2,211,266.6,267,1,0,0.0,56.0
300427,2007-12-28,New Zealand,Bangladesh,New Zealand,335.0,284.0,43,181,43,6,181,188.7,189,0,0,0.0,-95.0
300438,2008-02-12,New Zealand,England,New Zealand,158.0,165.0,36,165,19,0,165,187.0,187,1,0,0.0,22.0
300439,2008-02-15,New Zealand,England,England,234.0,229.0,47,229,44,4,229,245.5,246,1,0,1.0,17.0
300441,2008-02-23,New Zealand,England,New Zealand,242.0,180.0,37,213,37,6,213,226.5,227,1,0,0.0,47.0
319135,2008-04-12,West Indies,Sri Lanka,West Indies,112.0,125.0,25,125,21,3,125,186.0,187,1,0,0.0,62.0
319144,2008-06-27,West Indies,Australia,Australia,213.0,204.0,41,140,41,8,140,149.8,150,0,0,1.0,-54.0
325569,2008-06-29,Canada,Bermuda,Bermuda,201.0,196.0,47,184,46,10,184,192.4,193,0,0,1.0,-3.0
325580,2008-07-31,Ireland,Scotland,Ireland,152.0,128.0,27,129,24,3,129,183.6,184,1,0,0.0,56.0
343736,2008-08-29,Sri Lanka,India,Sri Lanka,227.0,216.0,44,103,27,10,103,126.7,127,0,0,0.0,-89.0
343759,2008-04-08,Pakistan,Bangladesh,Pakistan,322.0,282.0,39,129,30,10,129,180.7,181,0,0,0.0,-101.0
343760,2008-04-11,Pakistan,Bangladesh,Pakistan,225.0,158.0,25,160,24,3,160,220.6,221,1,0,0.0,63.0
352665,2009-03-20,West Indies,England,England,270.0,246.0,46,244,47,7,244,242.2,245,0,0,1.0,-1.0
352667,2009-03-27,West Indies,England,West Indies,117.0,117.0,44,117,15,2,117,155.5,156,1,0,0.0,39.0
352668,2009-03-29,West Indies,England,England,239.0,135.0,20,136,19,1,136,208.6,209,1,0,1.0,74.0
361045,2008-11-20,India,England,India,240.0,183.0,40,198,40,5,198,231.2,232,1,0,0.0,49.0
361046,2008-11-23,India,England,India,166.0,198.0,22,178,22,8,178,168.6,179,0,0,0.0,-19.0
366623,2009-03-03,New Zealand,India,India,273.0,216.0,28,162,28,9,162,201.9,202,0,0,1.0,-14.0
366624,2009-03-11,New Zealand,India,India,270.0,118.0,23,201,24,0,201,255.2,256,1,0,1.0,138.0
377315,2009-07-03,West Indies,India,India,186.0,159.0,22,159,22,4,159,202.0,202,1,0,1.0,43.0
383275,2009-08-27,Ireland,England,England,203.0,116.0,20,112,20,9,112,162.7,163,0,0,1.0,47.0
415273,2009-09-22,South Africa,Sri Lanka,Sri Lanka,319.0,262.0,37,206,38,7,206,233.5,234,0,0,1.0,-28.0
423792,2010-03-06,New Zealand,Australia,Australia,273.0,266.0,45,253,44,10,253,259.2,260,0,0,1.0,-6.0
423794,2010-03-11,New Zealand,Australia,Australia,238.0,200.0,34,202,32,4,202,251.7,252,1,0,1.0,52.0
433589,2011-03-14,Pakistan,Zimbabwe,Pakistan,151.0,162.0,38,164,35,3,164,185.3,186,1,0,0.0,24.0
439147,2010-05-22,West Indies,South Africa,South Africa,280.0,282.0,48,215,45,10,215,229.0,229,0,0,1.0,-53.0
446958,2010-11-05,Australia,Sri Lanka,Sri Lanka,213.0,240.0,38,210,38,10,210,209.5,211,0,0,1.0,-29.0
450107,2010-07-16,Ireland,Bangladesh,Bangladesh,189.0,190.0,46,191,38,4,191,201.4,202,1,0,1.0,12.0
463153,2011-01-21,South Africa,India,South Africa,265.0,191.0,32,142,33,6,142,186.8,187,0,0,0.0,-4.0
463154,2011-01-23,South Africa,India,South Africa,250.0,268.0,46,234,41,10,234,231.8,235,0,0,0.0,-33.0
464723,2010-09-06,Canada,Ireland,Canada,175.0,160.0,33,163,33,4,163,196.3,197,1,0,0.0,37.0
464991,2011-02-03,Sri Lanka,West Indies,Sri Lanka,203.0,197.0,47,199,43,2,199,214.9,215,1,0,0.0,18.0
474467,2011-06-28,England,Sri Lanka,England,229.0,232.0,32,121,27,10,121,177.3,178,0,0,0.0,-54.0
474470,2011-07-06,England,Sri Lanka,England,174.0,171.0,48,171,24,0,171,189.5,190,1,0,0.0,19.0
474479,2011-09-09,England,India,England,234.0,218.0,43,218,42,7,218,240.7,241,1,0,0.0,23.0
474480,2011-09-11,England,India,,280.0,271.0,48,270,49,8,270,258.6,271,0,0,,0.0
474481,2011-09-16,England,India,England,304.0,241.0,34,241,33,4,241,290.4,291,1,0,0.0,50.0
476596,2010-10-05,Bangladesh,New Zealand,Bangladesh,228.0,210.0,37,200,37,8,200,225.8,226,0,0,0.0,16.0
483126,2011-08-25,Ireland,England,England,201.0,129.0,23,117,23,8,117,162.9,163,0,0,1.0,34.0
489216,2011-05-02,West Indies,Pakistan,West Indies,248.0,154.0,29,154,30,4,154,209.4,210,1,0,0.0,56.0
489222,2011-06-08,West Indies,India,India,240.0,183.0,37,183,34,3,183,234.5,235,1,0,1.0,52.0
504779,2011-06-29,Scotland,Netherlands,Scotland,180.0,162.0,41,162,40,5,162,185.0,186,1,0,0.0,24.0
514025,2011-10-19,South Africa,Australia,Australia,183.0,223.0,29,129,22,10,129,183.8,184,0,0,1.0,-39.0
514037,2012-01-17,South Africa,Sri Lanka,South Africa,266.0,176.0,34,179,34,5,179,229.2,230,1,0,0.0,54.0
518956,2012-02-05,Australia,India,Australia,216.0,217.0,32,151,30,10,151,189.4,190,0,0,0.0,-27.0
518961,2012-02-17,Australia,Sri Lanka,Sri Lanka,158.0,152.0,41,152,25,2,152,178.5,179,1,0,1.0,27.0
534209,2012-06-16,England,West Indies,England,288.0,287.0,48,172,34,10,172,209.0,210,0,0,0.0,-77.0
534219,2012-07-10,England,Australia,England,145.0,138.0,29,138,28,3,138,201.1,202,1,0,0.0,64.0
535799,2012-03-20,Bangladesh,Sri Lanka,Bangladesh,232.0,212.0,40,212,38,5,212,253.7,254,1,0,0.0,42.0
540169,2012-03-18,West Indies,Australia,West Indies,154.0,158.0,40,163,39,5,163,178.3,179,1,0,0.0,21.0
542856,2012-07-11,England,India,England,152.0,96.0,36,124,36,4,124,155.4,156,1,0,0.0,60.0
560923,2012-07-05,West Indies,New Zealand,West Indies,190.0,136.0,33,136,25,1,136,211.9,212,1,0,0.0,76.0
