Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Overall,55.46,38.59,0.3807,16.84,15.03,26.15,42.83,4791
XGBoost,Overall,45.24,33.06,0.588,15.15,13.23,25.49,44.25,4791
RandomForest,Overall,45.26,33.07,0.5876,15.01,11.98,25.17,43.79,4791
LightGBM,Overall,45.69,33.33,0.5796,15.0,12.96,25.46,44.71,4791
