Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Overall,28.83,19.19,0.5229,17.16,29.26,44.89,66.18,6821
XGBoost,Overall,22.22,15.41,0.7166,15.4,30.13,49.38,72.51,6821
RandomForest,Overall,22.21,15.41,0.7168,15.68,29.63,49.32,72.78,6821
LightGBM,Overall,22.3,15.48,0.7146,15.63,29.95,48.57,72.6,6821
