Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Overall,34.02,22.77,0.3591,16.32,24.33,39.78,60.94,11498
XGBoost,Overall,24.29,17.14,0.6732,13.09,26.31,44.45,68.76,11498
RandomForest,Overall,24.39,17.17,0.6707,13.2,26.11,44.37,68.63,11498
LightGBM,Overall,24.34,17.17,0.6721,13.11,25.72,44.03,69.0,11498
