Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Overall,61.31,41.18,0.2443,17.59,13.94,25.86,42.93,25392
XGBoost,Overall,45.82,33.38,0.5779,15.52,13.72,25.93,44.41,25392
RandomForest,Overall,45.84,33.49,0.5775,15.8,13.42,25.4,44.26,25392
LightGBM,Overall,45.81,33.35,0.5781,15.47,13.68,26.01,44.63,25392
